[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[NO] 365/1797 | Disturbance-Aware Flight for Aerial Robots in Narrow Space
[NO] 366/1797 | The Dimension of Nonterminating Resampling Computations
[NO] 367/1797 | Couette Flow with Robin Boundary Condition (I): the viscosity-independent friction
[NO] 368/1797 | DA-MergeLoRA: Hypernetwork-Based LoRA Merging for Few-Shot Test-Time Domain Adaptation
[YES] 369/1797 | PSASpotter: A Tool to Detect the Usage of Platform-Specific APIs in Python
[NO] 370/1797 | How Reliable Are Multimodal Signals of Conversational State? Evidence from Remote Dyadic Collaborative Tasks
[NO] 371/1797 | A Variance-Based Test for Heterogeneous Treatment Effects
[NO] 372/1797 | Operator-centric Clifford algebra for variational eigensolvers and finite-shot adaptive selection
[NO] 373/1797 | Decision-Centric Large Deviations for Data-Driven Capital Buffers in Ruin Models
[NO] 374/1797 | Jacob's ladders and new $ζ$-functionals and corresponding $ζ$-equivalents of the Fermat-Wiles theory based on sums of elementary $ζ$-pulses
[NO] 375/1797 | Efficient Quantum-Mechanical Modeling of Nonradiative Charge Transfer Processes
[NO] 376/1797 | Fast VEM Fluid Simulation
[NO] 377/1797 | Analytic HTEE in Moving Plasmas and Its Transition
[NO] 378/1797 | Algebraic Knots and their Universal K^MW_2-Coverings
[NO] 379/1797 | C$^2$KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[NO] 380/1797 | Formal Verification of Continuous-Variable Quantum Programs
[NO] 381/1797 | SLAM in Low-Light Environments: Project Report
[NO] 382/1797 | Numerical Investigation of a 3D End-Firing Antenna Array Based on Two-Photon Polymerization on Thin-Film Lithium Niobate for Optical Beam Steering
[NO] 383/1797 | On some Lie automorphisms of a class of Kadison-Singer algebras
[NO] 384/1797 | Tokenizing Crosslingual Homographs
[NO] 385/1797 | History-dependent discharge of compressed particle rafts
[NO] 386/1797 | $L^2$-cohomology and deformations of the left regular representation
[NO] 387/1797 | Hindman's theorem does not code $\emptyset^{(ω)}$ in one application
[NO] 388/1797 | Toward Site-Aware MR Art Exhibitions: A SLAM-Based Deployment Pipeline for Spatial Coherence and Exhibition Experience
[NO] 389/1797 | RayOcc: Occlusion-Aware Ray Occupancy Estimation via Gaussian Mixture Intensity
[NO] 390/1797 | BMFA: Boundary-Minority Free-Energy Adaptive Screening
[NO] 391/1797 | HCPG-Flow:Hierarchical Contact-Progress Guidance for Flow-Policy Robot Manipulation
[NO] 392/1797 | Active Optical Frequency Measurements with Superradiance Prolonged by a Modulated Magnetic Field
[NO] 393/1797 | Baxter Q-operators from a Schwinger-Boson construction of the master T-operator and the mKP hierarchy
[NO] 394/1797 | On Optimal Event-Triggered Distributed Control for Stochastic Multi-Agent Systems via Reinforcement Learning
[NO] 395/1797 | Hypercomplex formulation of dissipative scalar electrodynamics and phase transitions
[NO] 396/1797 | Brain-Aligned Multi-Stream Video Transformers with Sparse Self-Selection
[NO] 397/1797 | Coarse-to-fine Framework for Generative MEF via Implicit Neural Representation
[NO] 398/1797 | Massive Compact Stars Beyond the General Relativity Limit in Finslerian Gravity: A Possible Explanation for the GW190814 Secondary
[NO] 399/1797 | The next-to-next-to-leading order BFKL eigenvalue at odd conformal spin in planar N=4 super Yang-Mills
[NO] 400/1797 | Space of norms on locally algebraic representations
[NO] 401/1797 | Trustworthy Protein-Ligand Binding Affinity Prediction via Reliability-Aware Multi-Engine Fusion
[NO] 402/1797 | SSTMark: Robust Training-Free Semantic-Level Speech Watermarking
[NO] 403/1797 | Constrained Tensor Decomposition-Based Target Sensing for Sparse Non-Uniform Array-Enabled AFDM ISAC Systems
[NO] 404/1797 | Detection, Attribution, Narration: An End-to-End Pipeline for Explainable Money Mule Identification
[NO] 405/1797 | Single-atom sensor for low-frequency electric field
[NO] 406/1797 | ANNLib: A Development Framework for Efficient Approximate Nearest Neighbor Search
[NO] 407/1797 | Scalable Model-Assisted Multi-Target Estimation in Large Image Collections
[NO] 408/1797 | A Dual-Hypothesis Reasoning Framework for LLM Guardrails
[NO] 409/1797 | AGG: Jacobian-Aggregated Group Gradient for Efficient GRPO Training of Diffusion Models
[NO] 410/1797 | Reinforcement Learning: From Algorithms To Foundation Models
[NO] 411/1797 | Beyond Spin: QCD Magnetars
[NO] 412/1797 | Lie-Group Mode Connectivity in Quantum Machine Learning from a Dynamical Lie Algebra Perspective
[NO] 413/1797 | (A)iSpy: Parasitic Trojans for Machine Learning Infrastructure
[NO] 414/1797 | Universal Jamming Criticality and Self-Organizing Principles from Disorder to the Limit of Perfect Crystalline Order
[NO] 415/1797 | Fefferman--Stein-type estimates and fractional NLS in Fourier Sobolev spaces
[NO] 416/1797 | FlowSonic: Stable Zero-Shot Music Editing via High-Order Trajectory Integration
[NO] 417/1797 | Optical observations on the young Type Ia SN 2021fxy with detached high velocity features
[NO] 418/1797 | Analysis of the hidden-charm pentaquark candidates in the $J/ψΣ^*$ mass spectrum via the QCD sum rules
[NO] 419/1797 | Gate-tunable giant anomalous Hall effect in magnetic topological insulator bilayer
[NO] 420/1797 | Self-State Attacks on Self-Hosted AI Agents: How Far Can OS Defenses Go?
[NO] 421/1797 | Scanless quantum Fourier-transform mid-infrared spectroscopy for rapid high-sensitivity hyperspectral mapping
[NO] 422/1797 | Where onshore wind meets forests: electricity system planning with ecologically graded forests
[NO] 423/1797 | The Autonomous Agency Scale: A Behavioral Framework for Measuring Self-Directed Behavior in AI Systems
[NO] 424/1797 | A Geometric Perspective on Stabilizing Value Conflict Resolution
[NO] 425/1797 | A Taxonomy of Distance Metrics for Time-Sensitive Importance Splitting: Timer Bounds, Resampling, and the Global Age
[NO] 426/1797 | Large scale behavior in the Kuramoto-Sivashinsky equation: The Schwinger-Dyson route
[NO] 427/1797 | AutoEncoder-Compressed Parallel Split Learning for Pre-trained Model Fine-Tuning
[NO] 428/1797 | Harnack estimates for the nonlocal Trudinger equation
[NO] 429/1797 | Chemical filters for ultra-high-throughput materials screening and generation
[NO] 430/1797 | Portable surrogate-free 4D MRI from standard fast multi-slice 2D MRI via implicit neural representations
[NO] 431/1797 | Finding Fair Draws for Incomplete Round Robin Tournaments
[NO] 432/1797 | SEAM-V: A Hybrid-Decoupled RISC-V Vector Processor with Backend-Visible EP Context for Sustained Vector Throughput
[NO] 433/1797 | Distributional Soft Bellman Operator under the Cramér Geometry
[NO] 434/1797 | Locality-Aware Density Control for Efficient Gaussian-based Image Representation
[NO] 435/1797 | Unifying Charge-Learnability Transitions in U(1)-Symmetric Quantum Circuits through Informational Power of Local Measurement
[NO] 436/1797 | Hybrid-Dimensional Biot Problem with an Optimization Based Domain Decomposition Approach
[NO] 437/1797 | Critical points of second Neumann eigenfunctions on some convex domains in two-dimensional space forms
[NO] 438/1797 | Solar, Heliospheric and Ionospheric Physics: Pathfinders, Precursors and SKAO Perspective
[NO] 439/1797 | Exploratory and Assimilating Reflection: Reflective Recall Cycle for Long-term Memory
[NO] 440/1797 | $Θ$-reductivity and $S$-completeness for adjoint Fano foliated structures
[NO] 441/1797 | Magnetically assisted primordial scalar perturbations: Scalar-Induced Gravitational Waves
[NO] 442/1797 | On the use of the Belopol'skaya-Daletskii representation of a diffusion on a Riemann manifold to construct path integrals
[NO] 443/1797 | Lifelong Localization in Dynamic Indoor Environments Combining Odometry with Sparse Distance Sampling
[NO] 444/1797 | Study of $χ_{\mathrm{c}}$ production in pPb collisions at $\sqrt{s_{\mathrm{NN}}}$ = 8.16 TeV
[NO] 445/1797 | CaT-GS: Efficient 3DGS Rendering for Large Scale Scenes via Inter-frame Caching and Tile Scheduling
[NO] 446/1797 | Deep Recurrent Q-Learning Based Beam Steering Strategy for Throughput Maximization in WPCNs
[NO] 447/1797 | New Number Formats for FFT IP Cores in Optical OFDM Transceivers
[NO] 448/1797 | A Gauge Model for Quasi-Dirac Neutrinos
[NO] 449/1797 | Renormalization of meson susceptibilities and RG-invariant symmetry ratios in QCD
[NO] 450/1797 | FF-ProCams: Feed-Forward Gaussian Splatting for Projector-Camera System
[NO] 451/1797 | The Concept of Representation in ML: Beyond Plato and Aristotle
[NO] 452/1797 | Real-time THz ptychography using an optically modulated aperture
[NO] 453/1797 | Geometry-Resolved Projection of RF Imbalance to Ion Micromotion in a Same-Phase Dual-RF Blade Trap
[NO] 454/1797 | Dynamic Defense Profiling Enables Cognitive Jailbreak of Text-to-Image Models
[NO] 455/1797 | Polar Coordinate-based Differential Evolution for Moving Target Search Using Vision Sensor on Unmanned Aerial Vehicles
[NO] 456/1797 | The stability of radially anisotropic rotating stellar systems with a central density cusp
[NO] 457/1797 | Mobile Network Control with a World Model
[NO] 458/1797 | An Early Warning of Emerging Biosecurity Risks in Frontier LLMs
[NO] 459/1797 | On unirational varieties with poset parameterizations
[NO] 460/1797 | Autonomous Discovery of Wireless Communications Algorithms
[NO] 461/1797 | Stress Testing Concept Erasure with Large Language Model Agents
[NO] 462/1797 | Organization of computation in reservoir computing
[NO] 463/1797 | VGOcc: Learning Visual-Geometric Gaussians for Vision-Centric 3D Driving Occupancy Prediction
[NO] 464/1797 | RuNNer 2.0: A Software Suite for High-Dimensional Neural Network Potentials
[NO] 465/1797 | Benchmarking Resource-Efficient LLMs for Research Topic Ontology Generation in the Biomedical Field
[NO] 466/1797 | Shadow of the generalized Vaidya black hole
[NO] 467/1797 | HyperIso: A general BSM calculator for flavour observables
[NO] 468/1797 | Ant swarm functional control via stigmergic Reinforcement Learning agents
[NO] 469/1797 | Topology of the Set of Entangled State
[YES] 470/1797 | Per Astronomix ad Astra: High-Order Differentiable (Magneto)hydrodynamics with Energy-Conserving Self-Gravity
[NO] 471/1797 | Spinal Hanoi Towers Groups
[NO] 472/1797 | Functional Calculus on Noncommutative Tori, II. Complex Powers, Logarithms, and Sectorial Projections
[NO] 473/1797 | Resonant excitations via low frequency pumping in driven magnon systems
[NO] 474/1797 | From local giants to locality in long-range percolation
[NO] 475/1797 | A Liouville Theorem for Domains in Graphs
[NO] 476/1797 | Measuring the Acceleration-Dependent Temperature of the Minkowski Vacuum
[NO] 477/1797 | Planning with Transformers: Chain of Computation and Structured Context Windows
[NO] 478/1797 | Variational non-gaussian approach to interacting spin-boson models
[NO] 479/1797 | Biodegradable, Millimeter-Scale Light-Emitting Sensors for Distributed Environmental Monitoring-Functional Pixie Dust
[NO] 480/1797 | Biased Domain Wall Networks and their Gravitational Waves
[NO] 481/1797 | PEARL: Auditable Repair for Scientific Reasoning Graph Extraction
[NO] 482/1797 | Physically motivated iso-orbital indicator for meta-GGA exchange functionals
[NO] 483/1797 | Theoretical uncertainties in reconstructing model parameters with gravitational waves from supercooled phase transitions
[NO] 484/1797 | Byzantine Fault-Tolerant Post-Quantum Distributed Quorum Signatures
[NO] 485/1797 | Defocusing dark energy: Raychaudhuri diagnostics beyond $w<-1/3$ and the phantom divide
[NO] 486/1797 | A general framework for computation and estimation using the saddlepoint approximation
[NO] 487/1797 | The Many Senses of Visual Similarity: A Text-Prompted Image Perceptual Metric
[NO] 488/1797 | Fixed Point Exploration For CV-QKD IR QC-MET-LDPC Toward Hardware Implementation
[YES] 489/1797 | Theoretical Foundations of $\max$@$k$ Reinforcement Learning
[NO] 490/1797 | Finding Adam in noisy trees
[NO] 491/1797 | Contact-based inverse analysis for nonlinear material identification in spatially heterogeneous solids
[NO] 492/1797 | Breaking the Bollobás-Eldridge-Catlin Barrier for Bipartite Graphs
[NO] 493/1797 | Pathwise skew-symmetric discretisation for SDEs with superlinear drift
[NO] 494/1797 | Two Peas in a Pod: The First Confirmed Dual Active Galactic Nucleus within a Green Pea Galaxy System
[NO] 495/1797 | Do Language Models Dream of Binding Molecules? Benchmarking LLMs under Spatial Constraints
[NO] 496/1797 | On Some Problems from the Kourovka Notebook
[NO] 497/1797 | Counting subsets of integers free of arithmetic configurations
[NO] 498/1797 | On some sums involving small arithmetic functions
[NO] 499/1797 | Multilingual Sentence Embeddings for Linguistic-Integrated Reliability Audit
[NO] 500/1797 | The finite key effect of side-channel-secure quantum key distribution beyond post-selection technique
[NO] 501/1797 | Bio-SFT: Asymmetric Cortical Guidance and Retinal Adaptation for Robust HDR Reconstruction
[NO] 502/1797 | Test-Time Scaling for World Action Models via Zero-Shot Geometric Evaluation
[NO] 503/1797 | Combining model checking with simulation-based techniques for protocol verification
[NO] 504/1797 | The Because-Calculus: Separating Production, Existence, and Interpretation in Computation
[NO] 505/1797 | Large Language Models for Citation Function Classification
[NO] 506/1797 | Feature-driven anomaly flagging in obscured active galactic nucleus light curves with autoencoders
[NO] 507/1797 | How the Angle of Static Field Affects the Spectrum of Lattice Schrodinger Operator on $\mathbb{Z}^2$
[NO] 508/1797 | Learning to Detect Cross-Modal Negation: An Analysis of Latent Representations and an Attention-Based Solution
[NO] 509/1797 | Quantum Key Distribution Beyond Stationary Channels
[NO] 510/1797 | How genome redundancy can promote evolutionary innovation
[NO] 511/1797 | Dual-Perspective Microwave and Hard X-ray Constraints of Asymmetric Nonthermal Loops in an X-class Flare
[NO] 512/1797 | The IRT Telescope on board the THESEUS mission
[NO] 513/1797 | The Weak Zero-Divisor Difference Graph of a Finite Commutative Ring
[NO] 514/1797 | ShotPlan: Cinematic Video Generation with Learnable Planning Token
[NO] 515/1797 | Beyond Objective Expressivity: Geometry Preservation in Multimodal Contrastive Learning
[NO] 516/1797 | GeneSpeak-FP: Target and Compound Retrieval from Observed Cell-Level Perturbation Signatures
[NO] 517/1797 | Attention from Above: A Multimodal Model for Drone-Based Object Localization
[NO] 518/1797 | Vibrational Circular Dichroism enhancement in conformationally flexible transition metal complexes
[NO] 519/1797 | Graph-Induced Tensor Liftings for Networked SEIR Models: Dimensional Reduction and Residual Analysis
