[2026-07-03 23:04:10] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[NO] 555/1969 | Complex dynamics in the Sherrington-Kirkpatrick game
[NO] 556/1969 | Polynomial mixing for polygonal side matchings
[NO] 557/1969 | ACID: Action Consistency via Inverse Dynamics for Planning with World Models
[NO] 558/1969 | Fast Multi-dimensional Refusal Subspaces via RFM-AGOP
[NO] 559/1969 | HULAT2 at MER-TRANS 2026: Governed Multi-Agent Simplification for Spanish Easy-to-Read Generation
[NO] 560/1969 | Generalized Rank Weight and Extended Generalized Poset Weight Defined For Codes Over Rings: A Galois Connection Approach
[NO] 561/1969 | DRIFTLENS: Measuring Memory-Induced Reasoning Drift in Personalized Language Models
[NO] 562/1969 | VisionAId: An Offline-First Multimodal Android Assistant for People with Visual Impairment, Featuring Personalized Object Retrieval
[NO] 563/1969 | The Dual Nature of LLM Persona: Aggregated Tendencies and Frame-Dependent Geometry
[NO] 564/1969 | Contrarian Majority Dynamics: Violation of Detailed Balance and Nonequilibrium Steady States
[NO] 565/1969 | Topology optimized plasmonic metasurfaces for optical trapping of nanoparticles
[NO] 566/1969 | Relativization of symmetries on quandles
[NO] 567/1969 | 3-Colouring Graphs Excluding a Fixed Minor
[NO] 568/1969 | LUCI on IBM Hardware: Error Suppression with Almost Half Syndrome Density
[NO] 569/1969 | Robustness and hyperstability for the Erdős-Gallai theorem
[NO] 570/1969 | Couplings of $3$-anchored Bundles
[NO] 571/1969 | Correlation and entanglement dynamics of free fermions in disguise
[NO] 572/1969 | Full Bayesian Reinforcement Learning via LF-IBIS
[NO] 573/1969 | Microwave shielding of ultracold polar molecules on the transition $\boldsymbol{n=1 \rightarrow 2}$
[NO] 574/1969 | Molecular interpretability of the bulk electrochemical impedance of concentrated electrolytes
[NO] 575/1969 | Recovery Algorithm for Correlated Errors in Permutation-Invariant Quantum Codes
[NO] 576/1969 | Algorithms for hyperelliptic Mumford Curves $p$-adic Uniformization, $p$-adic integrals and $p$-adic heights
[NO] 577/1969 | Quasistatic evolution of cohesive-type fracture
[NO] 578/1969 | Spatial Support Matters: Geometry-Aware Graph Fusion for Rainfall Field Reconstruction
[NO] 579/1969 | Quadratic fluctuations of speed-change Kawasaki dynamics
[NO] 580/1969 | Elasticity in Parallel Sparse Triangular Solve
[NO] 581/1969 | kNNGuard: Turning LLM Hidden Activations into a Training-Free Configurable Guardrail
[NO] 582/1969 | $Λ$ hyperons in core-collapse supernovae: Equilibration and neutrino opacities
[NO] 583/1969 | Koopman operator theory: fundamentals, control, and applications
[YES] 584/1969 | Online Safety Monitoring for LLMs
[NO] 585/1969 | New constraints on non-unitary neutrino mixing from 8 years of IceCube DeepCore atmospheric neutrino data
[NO] 586/1969 | Brilliant multi-GeV Compton gamma-ray source seeded by a photon accelerator
[NO] 587/1969 | meer21cm: an Analysis Pipeline and Comprehensive Toolkit for HI Intensity Mapping
[NO] 588/1969 | Self-Supervised Test-Time Tuning for Packet Loss Concealment
[NO] 589/1969 | ADVENT: LLM-Driven Automatic Predicate Invention for ILP
[NO] 590/1969 | The analytic properties of Hoggatt triangles
[NO] 591/1969 | Signatures of Two Distinct Epochs of FRB 20240114A from January to August 2024 Based on its Energy and Waiting Time Analysis
[NO] 592/1969 | Multi-Rate Nonlinear Model Predictive Control for Wall-Supported Bipedal Locomotion of Quadrupedal Robots
[NO] 593/1969 | An Information-Theoretic Principle for Optimal Quantum Encoding: Tight Frames and Equiangular Ensembles
[NO] 594/1969 | Beyond Words: Towards Effective Modeling of Non-Verbal Vocalizations in ASR
[NO] 595/1969 | Boosting Infrared Small Target Detection via Logit-Domain Contrast and Adaptive Shape Refinement
[NO] 596/1969 | HEFT: Heavy-Payload Full-size Humanoid Teleoperation with Privileged Motion Guidance and Windowed Payload Curriculum
[NO] 597/1969 | Facility Location Game with Envy Ratio
[NO] 598/1969 | Fundamental limitations of single-particle Green's-function zeroes as probes of many-body topology
[NO] 599/1969 | The Moving Eye: Enhancing VLA Spatial Generalization via Hybrid Dynamic Data Collection
[NO] 600/1969 | Refinement of Reliability Grid Codes in the Provision of Ancillary Services
[NO] 601/1969 | Hybridizing a Grouping Metaheuristic with Reinforcement Learning for the One-Dimensional Bin Packing Problem
[NO] 602/1969 | InvSplat: Inverse Feed-Forward Scene Splatting
[NO] 603/1969 | Optimizing Visual Generative Models via Distribution-wise Rewards
[NO] 604/1969 | Unitriangular R-matrices of quantum affine algebras and Yangians via Theta series
[NO] 605/1969 | Dendritic In-Context Learning in a Single-Layer Spiking Neural Network
[NO] 606/1969 | CheckRLM: Effective Knowledge-Thought Coherence Checking in Retrieval-Augmented Reasoning
[NO] 607/1969 | Tensor Amplification and Spectral Transfer for Sidorenko-Type Inequalities
[NO] 608/1969 | AgenticSTS: A Bounded-Memory Testbed for Long-Horizon LLM Agents
[NO] 609/1969 | The Gorenstein property and Pixton's conjecture for compact type moduli
[NO] 610/1969 | Design and development of a near-IR integral field spectrograph for the HWO Coronagraph Instrument
[NO] 611/1969 | Efficient Waste Sorting for Circular Economy: A Confidence-guided comparison between One-Vs-All and One-Vs-Rest Classification Strategies with Human-in-the-Loop for Automated Waste Sorting
[NO] 612/1969 | Optimal insulation and concentration breaking for nonlinear Robin boundary value problems
[NO] 613/1969 | A counterexample for the Daugavet index of thickness in $\ell_1$-sums
[NO] 614/1969 | Heavy-Flavor Electron Classification Using Hadronic Environment as Point Cloud
[NO] 615/1969 | Ultrafast Demagnetization Governed by Spin Fluctuations in CaRuO$_{3}$/SrTiO$_{3}$ Superlattice
[NO] 616/1969 | DetailAnywhere: Fashion Detail Generation via Cross-Modal Feature Alignment Distillation
[NO] 617/1969 | Differentiable inverse design of short-range order in high-entropy alloys: from target sro to target property
[NO] 618/1969 | Exact amplitude relations for diffusion-limited aggregation
[NO] 619/1969 | Prediction Sets for Counterfactual Decisions: Coverage, Optimality, and Conformal Prediction
[NO] 620/1969 | Actuator Reality Shaping for Zero-Shot Sim-to-Real Robot Learning
[NO] 621/1969 | The Eticas AI Risk Taxonomy: Open Infrastructure for Operationalizing AI Audits
[NO] 622/1969 | Free-breathing Pulmonary Relaxometry at 0.55T
[NO] 623/1969 | Fourier Preconditioning for Neural Feature Learning
[NO] 624/1969 | Complexity-Scalable Direct Geolocation and Cancellation of Terrestrial GNSS Jammers: Single-Satellite and Multi-Antenna Experiments in Low Earth Orbit
[NO] 625/1969 | Synthetic Contact with AI Reduces Cross-Partisan Animosity
[NO] 626/1969 | Conformal Bayes for Two-Sided Censored Gaussian Regression under Label Shift
[NO] 627/1969 | Feigin-Semikhatov duality at the critical level
[NO] 628/1969 | Local polynomial factorisation: improving the Montes algorithm
[NO] 629/1969 | Tiles and weak tiles in $\mathbb{Z}_{pq}$
[NO] 630/1969 | An algorithmic approach for computing fundamental domains of crystallographic groups
[NO] 631/1969 | Coverage Analysis in Terahertz Clustered HetNets
[NO] 632/1969 | Electronic Bursting Neuron: design, equations and hardware implementation
[NO] 633/1969 | Behind the Refusal: Determining Guardrail Activation via Behavioral Monitoring
[NO] 634/1969 | Planning over Matrix-Factorization MDPs for Candidate Generation
[NO] 635/1969 | Weighted Derivative Histopolation on Arbitrary Grids: Admissibility and Exact Factorizations
[NO] 636/1969 | Post-starburst Galaxies with Active Galactic Nucleus: Properties and Evolutionary Sequences
[NO] 637/1969 | Congestion-Based Slot Pricing in a Railway Auction Game
[YES] 638/1969 | Decoupling Code Complexity from Newcomer Participation: A Causal Study of AI Coding Agent Adoption in OSS
[NO] 639/1969 | Foliated and Mather-Jacobian discrepancies via tangential arcs
[NO] 640/1969 | Benchmarking SOPPA-based methods for the calculation of static and dynamic polarizabilities
[NO] 641/1969 | Single-Channel EEG-Based Cognitive Load Assessment in Online Learning: A Hybrid Deep Learning Approach
[NO] 642/1969 | Safety Testing LLM Agents at Scale: From Risk Discovery to Evidence-Grounded Verification
[NO] 643/1969 | KRCA: An Efficient Root Cause Analysis System in Hyper-Scale Microservice Systems via Agentic AI
[NO] 644/1969 | SpaceEra++: A Unified Framework Towards 3D Spatial Reasoning in Video
[NO] 645/1969 | Repair the Amplifier, Not the Symptom: Stable World-Model Correction for Agent Rollouts
[YES] 646/1969 | Mastermind: Strategy-grounded Learning for Repository-Scale Vulnerability Reproduction
[NO] 647/1969 | ProCal: Inference-Time Proposal Calibration for Open-Vocabulary Object Detection
[NO] 648/1969 | The influence of lunar tidal potential on clock frequencies at different positions on Earth
[NO] 649/1969 | DL-VINS-Factory: A Modular Framework for Learned Visual Front-Ends in Visual-Inertial SLAM
[NO] 650/1969 | Open Source Is Not One Thing: A Typology of Open-Source Software Sub-Genres
[NO] 651/1969 | Meta-Benchmarks for Financial-Services LLM Evaluation
[NO] 652/1969 | GlycoMAC: A Multiscale Metabolic-Glycosylation Framework for Predicting Glycosylation Across Conditions in Mammalian Cell Cultures
[NO] 653/1969 | From Subgroups to Population Composition: A Transportability Approach to Effect Heterogeneity
[NO] 654/1969 | A global girth obstruction for Garg--Mineyev taiko product structures
[NO] 655/1969 | Prediction of Radiotherapy-Induced Hematologic Toxicity in Cervical Cancer with Cohort-Aware Framework
[NO] 656/1969 | Consistent Scene Understanding in 3D Gaussian Splatting via Multi-Cue Mask Refinement
[NO] 657/1969 | LASER: A Corrective Lens for LVLMs via Visual Attention Preservation and Sink Suppression
[NO] 658/1969 | Arachne: Orchestrating Cascades for Efficient Text-to-Video Model Training
[NO] 659/1969 | Frequency Shift Physics-Informed Extreme Learning Machine for Solving High-Frequency Partial Differential Equations
[NO] 660/1969 | Quantum Heat Under the Microscope: A Perspective on Cryogenic Scanning Thermal Microscopy
[NO] 661/1969 | Epistemic Goggles: A Pretrained Module that Induces an Epistemic Frame via Gradient Editing
[NO] 662/1969 | A Dynamic Phasor Framework for Analysis of Subsynchronous Oscillations in Multi-Machine Systems with IBRs and Large Loads
[NO] 663/1969 | Imagining the Sense of Touch: Touch-Informed Manipulation via Imagined Tactile Representations
[NO] 664/1969 | How to approximate the flat spectral triple of a quantum torus by fuzzy tori : a twisted tale
[NO] 665/1969 | UniWind: Toward Unified Day-Ahead Wind Power Forecasting via Physics-Informed State Routing
[NO] 666/1969 | Diverse Evidence, Better Forecasts: Multi-Agent Deliberation Under Information Asymmetry
[NO] 667/1969 | Linking effective Ratner equidistribution to the semicircle law for skew-shift matrices
[NO] 668/1969 | Right-angled Artin groups of large girth and finite volume hyperbolic $3$--manifold groups
[NO] 669/1969 | One Demonstration Is Enough for Real-World Robotic Reinforcement Learning
[NO] 670/1969 | Joint elastic full waveform inversion of multi-component geophone and distributed acoustic sensing data
[NO] 671/1969 | Decentralized Stability Certificates in IBR-Dominated Grids: The Role of the Network State
[NO] 672/1969 | Autonomous discovery of traffic laws with AI traffic scientists
[NO] 673/1969 | Output-Sensitive Construction of CDAWGs from BWT-Runs
[NO] 674/1969 | DRDN: Decoupled Representation Dynamic Network for From-Scratch ViT Class-Incremental Learning
[NO] 675/1969 | Online Segment 3D Gaussians via Launching Virtual Drones
[NO] 676/1969 | Multi-THuMBS: Multi-person Tracking of 3D Human Meshes Beyond Video Shots
[NO] 677/1969 | Architecture and Validation of the CRS F-Engine for the CHORD Radio Telescope
[NO] 678/1969 | Profit-Based Counterfactual Explanations for Product Improvement: A Case Study of Manga Sales in Japan
[NO] 679/1969 | pykci: A Compact Urban Knowledge Graph for Semantic and Spatial Queries using LLMs
[YES] 680/1969 | A Single Patch Is Not Enough: Deterministic Fusion of Repair Candidates
[NO] 681/1969 | LACUNA: A Testbed for Evaluating Localization Precision for LLM Unlearning
[NO] 682/1969 | A critical look at low-scale cosmological phase transitions in the PTA era
[NO] 683/1969 | Reasoning LLM Improves Speaker Recognition in Long-form TV Dramas
[NO] 684/1969 | VT-WAM: Visual-Tactile World Action Model for Contact-Rich Manipulation
[NO] 685/1969 | Towards Robustness against Typographic Attack with Training-free Concept Localization
[NO] 686/1969 | Identifying $Σ(1380)$ and $Σ(1430)$ in the $J/ψ\to Λπ\barΣ$ reaction
[NO] 687/1969 | Docking of Autonomous Vehicles with a Stationary Docking Station in 3D Space
[NO] 688/1969 | Bifurcations of the Clifford Torus as Willmore Surfaces in Berger Spheres
[NO] 689/1969 | Will Scaling Improve Social Simulation with LLMs?
[NO] 690/1969 | Language Models as Measurement Apparatus for Culture
[NO] 691/1969 | Extreme Adaptive Transformer for Time Series Forecasting
[NO] 692/1969 | Symmetric edge polytopes are not gamma-positive
[NO] 693/1969 | Neuron-Aware Active Few-Shot Learning for LLMs
[NO] 694/1969 | Wavelet-Guided Semantic Signal Compensation for Inversion-Free Image Editing
[NO] 695/1969 | The Future of NLP may not be at NLP Conferences: Scholarly Migration Patterns in Natural Language Processing
[NO] 696/1969 | Weak and strong solutions for a class of quasilinear Allen--Cahn systems
[NO] 697/1969 | On the range of competing random walks
[NO] 698/1969 | Masked complex non-decimated wavelet features for patient-level classification of contrast-enhanced mammography
[NO] 699/1969 | Consensus-Breaking Global Hopf Bifurcation in Memory-Based Multi-Agent Systems
[NO] 700/1969 | Bringing Agentic Search to Earth Observation Data Discovery
[NO] 701/1969 | Inference for Group Interaction Experiments
[NO] 702/1969 | Robust Transmission Design for RIS-Assisted RSMA-SWIPT Systems With Movable Antennas Under Hardware Distortions
[NO] 703/1969 | The Weight Distribution of the Third-Order Reed-Muller Code of Length 2048
[NO] 704/1969 | Indicatives of Early Stages of Star Formation in the Universe
[NO] 705/1969 | SelectTSL: Prompt-Guided Selective Target Sound Localization in Complex Scenarios
[NO] 706/1969 | Merging of Bayes and quasi-Bayes empirical Bayes procedures for Poisson compound decisions
[NO] 707/1969 | HNSW with Accuracy Guarantees Using Graph Spanners -- A Technical Report
[YES] 708/1969 | Developers' Experience with Generative AI Beyond Productivity Assessment -- Insights from an Empirical Mixed-Methods Field Study
[NO] 709/1969 | A Snail Race Problem
[NO] 710/1969 | WavePID: Low-energy flavor identification using single-PMT time series in IceCube
[NO] 711/1969 | A Time-to-Boundary Margin for Transient Stability: Unifying Critical Clearing Time and Operating-Point Drift
