[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 263/942 | In-Hardware Fault-Tolerance Controller for Multi-FPGA Clustered Architectures
[NO] 264/942 | <i>q</i>
                    -Deformation Kernel Adaptive Filtering Method For Indoor Positioning In IoT Systems
[NO] 265/942 | FedULBD: Unlearning-Driven Lightweight Backdoor Defense for Resource-Constrained Consumer Electronics Federated Learning
[NO] 266/942 | A Robust Quantized Speech Semantic Communication System Based on ASR Perception Loss and Deep Channel Estimation
[NO] 267/942 | Energy-Optimal Thermal Management of Heat-Pump Battery Electric Vehicles
[NO] 268/942 | Low-Dimensional Wideband Channel Descriptors for Antenna-Aware Scenario Classification at 28 GHz
[NO] 269/942 | LeCropFollow: Latent Space Planning for Navigation in Unstructured Crop Fields
[NO] 270/942 | NeuralPathLite: Fast and Robust Diffusion-Based Path Planning for Autonomous Navigation
[NO] 271/942 | Hybrid Onboard EV Charger With Wireless and Conductive Power Capability
[NO] 272/942 | Data-Efficient Deep Learning for SAR Automatic Target Recognition: A Comprehensive Survey
[NO] 273/942 | Machine Learning–Driven Optimization of Dielectric Matching Medium for Efficient Wireless Power Transfer in IoMT Implantable Devices
[NO] 274/942 | Evaluation of Partial Discharge Separation Techniques
[NO] 275/942 | A Two-Stage Framework for Cloud Service Combinatorial Optimization: Cognitive-Inspired Co-Evolutionary Dual-Population Search and Contrastive Compensation Ranking
[NO] 276/942 | 2026 IEEE International Conference on Emerging Synergy Science and Technology (ICESST)
[NO] 277/942 | Photographs
[NO] 278/942 | Book of Abstract Suiet
[NO] 279/942 | Design and Performance Analysis of a Distributed Modular Active Power Filter Network for Power Quality Improvement in PV System
[NO] 280/942 | Design and Implementation of a Kyrgyz-English Translation System with Phraseological Unit Processing
[NO] 281/942 | Separate Absorption Charge Multiplication Ge-onSi Avalanche Photodiode in Linear Mode
[NO] 282/942 | Toward Enhanced Security with Scalable Blockchain-Based Multi-Factor Authentication
[NO] 283/942 | Using Internet Search Data for the Study of Functioning of the Tatar Language
[NO] 284/942 | Wafer-Scale Two-Channel Monolayer-MOS ${}_{2}$ Nanosheet Fets with Record-High $I_{\text {on }}&gt;2 ~\text{mA} / \boldsymbol{\mu} \mathrm{m}$ Enabled by Sub-1 NM Cet High- $\kappa$ Integration
[NO] 285/942 | A 90.6 pJ/pixel 1280×800 65 fps cm-Scale Fully Integrated Video Encoder System Utilizing a 2×2 Microlens Array
[NO] 286/942 | A 0.511 pJ/Bit Data-Independent and Post-Processing-Free 6T-SRAM-Based TRNG Exploiting Differential Bit-Line Leakage
[NO] 287/942 | TurkmenFST: A Comprehensive Rule-Based Morphological Analysis and Generation System for the Turkmen Language
[NO] 288/942 | Innovative Dual-Pol SAR Descriptors for Earth Observation
[NO] 289/942 | Energy-Efficient AI-native RAN for Embodied Guide Dog towards 6G
[NO] 290/942 | Acoustic Signal-Based Drone Detection Using a Tetrahedral Microphone Array and Deep Neural Networks: SICDrone Module
[NO] 291/942 | Hybrid Physics-ML Framework for Pan-Arctic Permafrost Infrastructure Risk at Record 2.9-Million Observation Scale
[NO] 292/942 | Using Optical–Microwave Scintillometry to Evaluate the Sparse Evapotranspiration Model Over a Drip-Irrigated Olive Orchard
[NO] 293/942 | Performance Comparison of Chopper and Push-Pull Converter Configurations for SMES-Based LVRT Enhancement of Axial Flux Induction Generator
[NO] 294/942 | Performance-Aware Data Splitting for Solar Irradiance Modeling Using Bayesian Linear Regression
[NO] 295/942 | Joint Software-Hardware Reliability Optimization for SFC Deployment in NFV-enabled Satellite Networks
[NO] 296/942 | Black-Box Operational Transparency: Gradient-Based Explainability for GNN-Based Network Performance Prediction
[NO] 297/942 | Fast Anomaly Detection and Joint State Estimation for Perturbed Nonlinear Systems with Prolonged Output Anomalies
[NO] 298/942 | Different Low-Frequency $(1 / f)$ Noise Origins in Atomically Thin ALD In
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    TFTs Determined by the Quantum-Confinement Effect
[NO] 299/942 | A Hybrid Processing-In-Sensor Architecture With a Computational Mosaic Array and Residual-Enhanced Analog Skip Connections for Robust Color Vision
[NO] 300/942 | Adaptive Sliding Mode Controller for Improved Dynamic Response in FOC-Based IM Drives
[NO] 301/942 | Comparative Analysis of Luenberger and Sliding Mode Observers for Brushless DC Motor Drive
[NO] 302/942 | Modeling and Analysis of a Threshold MEMS Accelerometer
[NO] 303/942 | A Hybrid Genetic Algorithm with Simulated Annealing for Solving Large-Scale 0/1 Knapsack Problems
[NO] 304/942 | Problems of Using a Chatbot as a Tool for Collecting Sociological Data
[NO] 305/942 | Distributed Load-Sharing and Loss Optimization Within Voltage Safety Constraints for Meshed DC Microgrid
[NO] 306/942 | Q-CAR: Capacity-Aware Q-Learning Routing for Hybrid VLC/RF Wireless Mesh Networks
[NO] 307/942 | PhishZero: A Self-Supervised Transformer Framework for Robust Zero-Shot Malicious URL Detection
[NO] 308/942 | Resistivity Scaling of Topological CoSi Wires to Sub-10 nm for Post-Cu Interconnects
[NO] 309/942 | A Family of Robust Regularized Adaptive Filtering Algorithms
[NO] 310/942 | An Efficient Evolutionary Algorithm for Few-for-Many Optimization
[NO] 311/942 | Experimental Studies of the Noise Characteristics of Millimeter-Range Radio Pulse Autodynes
[NO] 312/942 | Time-Varying Formation for Second-Order Open Multi-Agent Systems with External Disturbances
[NO] 313/942 | CFET Demonstration for Future Logic and SRAM Technology
[NO] 314/942 | Grover-Accelerated Variational Quantum Learning for Time-Critical Task Offloading in 6G Satellite-Terrestrial Integrated Networks
[NO] 315/942 | Cryo-CMOS Sub-1K 16nm FinFET DAC for Fast Two-Qubit Gates in Spin Qubits
[NO] 316/942 | Modeling Reflecting Metasurface Based on Liquid Crystals
[NO] 317/942 | Characterization of Underground-to-Aboveground and Underground-to-Underground Radio Channels for Reliable Communication in Precision Agriculture
[NO] 318/942 | Battery Management Systems for Electric Vehicles
[NO] 319/942 | Towards Reliable Citrus Yield Assessment Using Remote Sensing and Machine Learning Approaches
[NO] 320/942 | Experimental Study on Carrier Transport in Amorphous and Poly InGaOx FETs – Hall Measurement, Temperature Dependence, Velocity Saturation
[NO] 321/942 | From Satellite Pixels to Solar Fields: Remote Sensing-Driven CSP Suitability Modelling in Arid Environments
[NO] 322/942 | Application of Technology Readiness Level to Research Software
[NO] 323/942 | Proceedings of the 2026 International Workshop on Responsible AI Engineering
[NO] 324/942 | A Wearable Shader-ball (Invited Talk)
[NO] 325/942 | Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV &amp; Live Events
[NO] 326/942 | Evolving Competencies in Blockchain Engineering: A Longitudinal Replication Study
[NO] 327/942 | An Empirical Evaluation of Kubernetes Resilience in Cloud–Edge Deployments Using Failure Injection Techniques
[NO] 328/942 | Walk on Decomposed Subdomains: A Hybrid Monte Carlo–Deterministic Solver for Elliptic PDEs
[NO] 329/942 | AtomSlicer: Constant-Thickness Field-Aligned Non-Planar Slicing and Continuous Toolpaths for FFF
[NO] 330/942 | Locality-Aware Automatic Differentiation on the GPU for Mesh-Based Computations
[NO] 331/942 | Spatiotemporal FLIP for Fast Free-Surface and Two-Phase Simulation With Very Large Time Steps
[NO] 332/942 | Proceedings of the 2026 International Conference on Artificial Intelligence in Education Technology and Data Science
[NO] 333/942 | Art + Code: Case Study in Expanding Access with p5.js
[NO] 334/942 | Characterization and Prediction of Cell-level Mobile Network Traffic: A Reinforced Meta-learning-Based Framework_supp1-3708512.pdf
[NO] 335/942 | Stochasticity-Induced Uniform Coverage: A Low-Cost Swarm Solution Using Sensors with Limited Field of View_supp1-3708494.mp4
[NO] 336/942 | Program at a Glance
[NO] 337/942 | 2026 International Wireless Communications and Mobile Computing (IWCMC)
[NO] 338/942 | MUST: Multi-style virtual staining with incomplete pairs
[NO] 339/942 | Women in Engineering
[NO] 340/942 | Structural Design of Litz Wires for Reducing AC Transport Current Loss Using an Equivalent Circuit Model Considering the Path of All Strands
[NO] 341/942 | Design, Modeling, and Experimental Evaluation of an Adaptive In-Pipe Cleaning Robot for Narrow-Gap Debris Removal in LNG Pipelines
[NO] 342/942 | Wasm-EEL: Computational Offloading for Mobile Devices over Edge Computing Enabler Layer
[NO] 343/942 | Program Schedule
[NO] 344/942 | Towards a Graphics-Silicon Gymnasium to Shape the Future of Micro-Embodied AI
[NO] 345/942 | Preliminary Usability Experimentation of a Pattern-Driven Middleware for IoT Data Processing in Research Environments
[NO] 346/942 | Generative AI-Based Defense Against Deepfakes in Intelligent Audio Systems
[NO] 347/942 | Automating the Handoff: From Hardcoded QC Scripts to a Multi-Agent Architecture for Layout- to-Animation Reviews
[NO] 348/942 | Lightweight Deep Learning for Automated Stroke Detection in Non-Contrast CT Imaging
[NO] 349/942 | Enabling Digital Twins in Built Environments with Object-Oriented Models
[NO] 350/942 | Comparative Analysis of PI and IMC for Superlift Luo Converter for EV Application
[NO] 351/942 | Multi-Domain Harmonization of GNSS Positioning Requirements Across Air, Maritime and Terrestrial Environments
[NO] 352/942 | A SPAD-Based iToF Flash LiDAR Sensor with a Coarse-Fine Operation Scheme Robust Against Strong Background Light
[NO] 353/942 | Integrated Imaging Solutions for Robotic Navigation and Manipulation: Visual-Inertial SLAM and Neuromorphic Tactile Sensing
[NO] 354/942 | Performance Analysis of a SCA-Tuned PI Controller-Based Dynamic Voltage Restorer for Mitigating Power Quality Disturbances
[NO] 355/942 | High Bandwidth Memory 4 (HBM4) Package Development Challenges
[NO] 356/942 | Towards the development of mathematical models for multihormonal closed-loop for type 1 diabetes mellitus
[NO] 357/942 | Automated Ontology Construction: An AI Framework for Research Software Engineering
[YES] 358/942 | Building Better Research Software (Are you sure?): Why Technical Refactoring Does Not Lead To Software Quality
[NO] 359/942 | A High-Performance Heterogeneous 2T0C DRAM with PSLC-Si/IGZO Complementary Gain Cell for Monolithic 3D Leveraging Capacitive Coupling
[NO] 360/942 | An 8Bit 4.8GS/s 10.9fJ/Conv.-Step TI-SAR ADC with 4Bit/3Cycle Ping-Pong Architecture and Data-Driven Zero-Overhead Background Calibration
[NO] 361/942 | Breaking Mobility–${V}_{\text{th}}-{R}_{\text{sd}}$ Trade-off in Oxide Semiconductor FETs: Novel p-NiO Junction Engineering
[NO] 362/942 | Specter: 376 fps 2.67 nJ/Pixel 4DGS Processor for Spatiotemporal Reconstruction with Contribution-Ordered Rendering and Deformation-Aware Modeling
[NO] 363/942 | Toward Quantum Neural Network for Stock Price Direction Prediction Using Multi-Asset Time Series
[NO] 364/942 | Strong Interaction of Transverse - Magnetic Wave with a Modulation Wave of a Magnetodielectric Plate in a Waveguide
[YES] 365/942 | Hardware Network Traffic Filter Verification Method
[NO] 366/942 | Spatial Suitability Mapping for Sweet Potato: A GIS-Based Assessment Across Agro-Climatic Zones of India
[NO] 367/942 | Site-Dependent Performance of Spectral Indices and Machine Learning for Flood Detection in Mediterranean Karst Poljes
[NO] 368/942 | Methodology for Continuous Information Security Testing in an Organization Based on the Integration of the BAS Platform
[NO] 369/942 | SentraWatch: Integrated Supervision for Academic Cyber Laboratories
[NO] 370/942 | ASTRIDE: A Security Threat Modeling Platform for Agentic-AI Applications
[NO] 371/942 | Finite-Element Study on Stress Distribution and Voltage Response in a Multi-Layer Piezoelectric Sensor
[NO] 372/942 | Forecasting Ground Temperature Under Buildings in Salekhard Using Physics-Informed Neural Networks
[NO] 373/942 | Experience in Analyzing the Dynamics of Changes in the Number of Identified Vulnerabilities Published in the CVE of the FSTEC of Russia
[NO] 374/942 | A 5GS/s Staggered Working Point Ensemble TRNG with a Stochastic Model Achieving 4064.5 Mbps Entropy-Throughput and 997.6 fJ/Entropy-Bit
[NO] 375/942 | MATD3-based Joint Optimization of UAV Trajectory, Task Offloading and Resource Allocation in MEC-SAGINs for IoRT
[NO] 376/942 | A 48V-5V Coupled-Inductor Middle-Switched-Capacitor Hybrid GaN Converter Achieving 156µH Equivalent Inductance and 30mA Ripple
[NO] 377/942 | Advanced LSTM Networks Incorporating Adaptive Bounded Conditions Based on Hilbert-Huang Transform Ensemble for the Analysis of Multidomain Faults in DC Microgrids
[NO] 378/942 | A 209 ∼ 245GHz CMOS Spectroscopic Transmitter with DTC-Based 4FSK Baseline Elimination and Phase-Offset Calibrated SSPLL for Chip-Scale Molecular Clocks
[NO] 379/942 | High-Order Interaction and Low-Order Parallelization of Features Fusion with Novel Mamba-UNet Architecture for Medical Image Segmentation
[NO] 380/942 | Quality or Quantity? Error-Informed Selective Online Learning with Gaussian Processes in Multi-Agent Systems
[NO] 381/942 | Toward Intent-Driven Autonomous UMEC: An LLM-Based Cognitive Agent for Closed-Loop Trajectory Orchestration
[NO] 382/942 | Stacked-LSTM Network for FDIA Detection With Convolutional Residual Auto-Encoder in Power Cyber-Physical Systems
[NO] 383/942 | State-Aware Graphical Model for Event Camera Denoising via Joint Maximum a Posteriori Inference
[NO] 384/942 | On the Finite-Time Synchronization of Disturbed Fractional-Order Chaotic Neural Networks with Time-Varying Delays
[NO] 385/942 | Automated Wood and Leaf Separation: A Comprehensive Review on Advanced Methods and Forestry Applications
[NO] 386/942 | Agent Trajectory Prediction from FMCW Radar Dataset Using CNN–CVAE Approach
[NO] 387/942 | TARNA: A 1.18-μW/Channel Topology-Aware Residual Recurrent CIM Processor for Zero-Shot Seizure Detection
[NO] 388/942 | A 17.6Gb/s, 39.1pJ/b Tiled Beamspace Training and Detection Processor for mmWave Massive MIMO
[NO] 389/942 | A Highly Scalable and Noise-Robust Direct Digital Readout (DDRO) for E-Skin Temperature Sensor Arrays Achieving 12.2 pJ/Sensor and 710 ns/Row
[NO] 390/942 | Graph Representation-Based Model Poisoning on the Heterogeneous Internet of Agents
[NO] 391/942 | Disentanglement under Stress: Limits of Entropy-based Aleatoric and Epistemic Uncertainty Estimation in Bayesian Deep Learning
[NO] 392/942 | A Multi-Objective Hybrid Jaya Algorithm for Optimal Economic, Emission, and Reliability Dispatch of HRES
[NO] 393/942 | Power Quality Improvement of a Standalone Microgrid Supplied by Hybrid PV-Wind-Battery System
[NO] 394/942 | Analyzing Classifier Trade-offs for Behavioural Biometric Continuous Authentication
[NO] 395/942 | QuSim-Join: Provably Optimal Quadratic Speedup in Set Similarity Joins via Quantum Amplitude Estimation
